,locations,latitude,longitude
0,Mumbai,19.0785451,72.878176
1,Delhi,28.6517178,77.2219388
2,Bangalore,12.9767936,77.590082
3,Hyderabad,17.360589,78.4740613
4,Ahmedabad,23.0216238,72.5797068
5,Chennai,13.0836939,80.270186
6,Kolkata,22.5414185,88.35769124388872
7,Surat,45.9383,3.2553
8,Pune,18.521428,73.8544541
9,Jaipur,26.9154576,75.8189817
10,Lucknow,26.8381,80.9346001
11,Kanpur,26.4609135,80.3217588
12,Nagpur,21.1498134,79.0820556
13,Indore,22.7203616,75.8681996
14,Thane,19.1943294,72.9701779
15,Bhopal,23.2584857,77.401989
16,Visakhapatnam,17.7231276,83.3012842
17,Pimpri-Chinchwad,18.6279288,73.8009829
18,Patna,25.6093239,85.1235252
19,Vadodara,22.2973142,73.1942567
